target,geography,seed_table,importance,control_field,expression
num_hh,AZONE,households,1000000000,HHS,(households.WGTP > 0) & (households.WGTP < np.inf)
hh_size_1,REGION,households,5000,HH_SIZE1,households.NP == 1
hh_size_2,REGION,households,5000,HH_SIZE2,households.NP == 2
hh_size_3,REGION,households,5000,HH_SIZE3,households.NP == 3
hh_size_4,REGION,households,5000,HH_SIZE4M,households.NP >= 4
hh_wrks_0,REGION,households,5000,HH_WRKR0,households.NWESR == 0
hh_wrks_1,REGION,households,5000,HH_WRKR1,households.NWESR == 1
hh_wrks_2,REGION,households,5000,HH_WRKR2,households.NWESR == 2
hh_wrks_3,REGION,households,5000,HH_WRKR3,households.NWESR == 3
hh_wrks_4,REGION,households,5000,HH_WRKR4,households.NWESR == 4
hh_wrks_5m,REGION,households,5000,HH_WRKR5M,households.NWESR >= 5
person_age0to4,REGION,persons,10000,P_AGE0,(persons.AGEP >= 0) & (persons.AGEP <= 4)
person_age5to9,REGION,persons,10000,P_AGE5,(persons.AGEP >= 5) & (persons.AGEP <= 9)
person_age10to14,REGION,persons,10000,P_AGE10,(persons.AGEP >= 10) & (persons.AGEP <= 14)
person_age15to19,REGION,persons,10000,P_AGE15,(persons.AGEP >= 15) & (persons.AGEP <= 19)
person_age20to24,REGION,persons,10000,P_AGE20,(persons.AGEP >= 20) & (persons.AGEP <= 24)
person_age25to29,REGION,persons,10000,P_AGE25,(persons.AGEP >= 25) & (persons.AGEP <= 29)
person_age30to34,REGION,persons,10000,P_AGE30,(persons.AGEP >= 30) & (persons.AGEP <= 34)
person_age35to39,REGION,persons,10000,P_AGE35,(persons.AGEP >= 35) & (persons.AGEP <= 39)
person_age40to44,REGION,persons,10000,P_AGE40,(persons.AGEP >= 40) & (persons.AGEP <= 44)
person_age45to49,REGION,persons,10000,P_AGE45,(persons.AGEP >= 45) & (persons.AGEP <= 49)
person_age50to54,REGION,persons,10000,P_AGE50,(persons.AGEP >= 50) & (persons.AGEP <= 54)
person_age55to59,REGION,persons,10000,P_AGE55,(persons.AGEP >= 55) & (persons.AGEP <= 59)
person_age60to64,REGION,persons,10000,P_AGE60,(persons.AGEP >= 60) & (persons.AGEP <= 64)
person_age65to69,REGION,persons,10000,P_AGE65,(persons.AGEP >= 65) & (persons.AGEP <= 69)
person_age70to74,REGION,persons,10000,P_AGE70,(persons.AGEP >= 70) & (persons.AGEP <= 74)
person_age75to79,REGION,persons,10000,P_AGE75,(persons.AGEP >= 75) & (persons.AGEP <= 79)
person_age80to84,REGION,persons,10000,P_AGE80,(persons.AGEP >= 80) & (persons.AGEP <= 84)
person_age85m,REGION,persons,10000,P_AGE85,persons.AGEP >= 85
FIRE_fnin_off,REGION,persons,10000,FIRE_fnin_off,"persons.split_industry == ""FIRE_fnin_off"""
INFO_info_off_li,REGION,persons,10000,INFO_info_off_li,"persons.split_industry == ""INFO_info_off_li"""
